epsilon,episode reward,reward,train_loss,total_reward,epoch,step
0.9514899849891663,7.0,1.0,0.4275469481945038,13.0,3,49
0.9019899964332581,6.0,1.0,17.10746955871582,18.0,7,99
0.8524900078773499,11.0,1.0,1.9946523904800415,34.0,11,149
0.8029900193214417,2.0,1.0,27.889461517333984,9.0,15,199
0.7534899711608887,6.0,1.0,70.73162078857422,19.0,19,249
0.7039899826049805,56.0,1.0,1.6911346912384033,19.0,23,299
0.6544899940490723,17.0,1.0,63.08651351928711,29.0,26,349
0.6049900054931641,20.0,1.0,19.877513885498047,47.0,30,399
0.5554900169372559,17.0,1.0,4.316161632537842,26.0,34,449
0.5059900283813477,16.0,1.0,3.763404369354248,51.0,38,499
0.45649001002311707,1.0,1.0,52.90424728393555,30.0,42,549
0.4069899916648865,15.0,1.0,21.190359115600586,36.0,46,599
0.35749000310897827,17.0,1.0,128.34141540527344,48.0,49,649
0.30799001455307007,27.0,1.0,14.34638786315918,40.0,53,699
0.2584899961948395,14.0,1.0,170.34332275390625,63.0,57,749
0.20898999273777008,64.0,1.0,80.6873779296875,63.0,61,799
0.15949000418186188,6.0,1.0,14.18783187866211,23.0,65,849
0.10999000072479248,56.0,1.0,6.24791145324707,23.0,69,899
0.06049000099301338,106.0,1.0,3.9163804054260254,23.0,73,949
0.010990000329911709,43.0,1.0,4.042339324951172,113.0,76,999
0.009999999776482582,93.0,1.0,5.164226531982422,113.0,80,1049
0.009999999776482582,3.0,1.0,5.608635902404785,140.0,84,1099
0.009999999776482582,53.0,1.0,14.659774780273438,140.0,88,1149
0.009999999776482582,103.0,1.0,4.414175033569336,140.0,92,1199
0.009999999776482582,153.0,1.0,14.174461364746094,140.0,96,1249
0.009999999776482582,3.0,1.0,3.644049644470215,200.0,99,1299
0.009999999776482582,53.0,1.0,12.836931228637695,200.0,103,1349
0.009999999776482582,103.0,1.0,9.137569427490234,200.0,107,1399
0.009999999776482582,153.0,1.0,3.9340357780456543,200.0,111,1449
0.009999999776482582,3.0,1.0,15.579425811767578,200.0,115,1499
0.009999999776482582,53.0,1.0,7.381688594818115,200.0,119,1549
0.009999999776482582,103.0,1.0,3.0773611068725586,200.0,123,1599
0.009999999776482582,153.0,1.0,264.4346008300781,200.0,126,1649
0.009999999776482582,3.0,1.0,3.956852436065674,200.0,130,1699
0.009999999776482582,53.0,1.0,25.084423065185547,200.0,134,1749
0.009999999776482582,103.0,1.0,140.44845581054688,200.0,138,1799
0.009999999776482582,153.0,1.0,3.067478656768799,200.0,142,1849
0.009999999776482582,10.0,1.0,3.670220375061035,193.0,146,1899
0.009999999776482582,60.0,1.0,4.417655944824219,193.0,149,1949
